inchikey,SMILES,pAct,n_records,sd,year_min,year_max,year_median,types,assay_types,n_documents
SFIKGBKMOQHADS-UHFFFAOYSA-N,O=Cc1nccnc1NCC(=O)N1CCC(Oc2ccccc2Cl)CC1,6.6777807052660805,1,0.0,2007,2007,2007,IC50,B,1
QXNOTUKNWZNQSX-UHFFFAOYSA-N,COc1ccc(-c2nc3ccc(NCc4cccc(OC(F)(F)F)c4)nc3n(CCNC(C)=O)c2=O)cc1,6.6777807052660805,1,0.0,2009,2009,2009,IC50,B,1
ZFHYZBLHLMXEBL-UHFFFAOYSA-N,CC1(c2cc(C(=O)Nc3cnn(Cc4ccccc4)c3)no2)COC1,6.6777807052660805,1,0.0,2021,2021,2021,IC50,B,1
WBHLUVWKSZPJOW-UHFFFAOYSA-N,O=C(c1cc(-c2ccccc2)on1)N1CCN(c2cccc(F)c2)CC1,6.6777807052660805,1,0.0,2021,2021,2021,IC50,B,1
JDXPCOUDPIDYBT-UHFFFAOYSA-N,Cc1nc(-n2cnn(Cc3ccc(F)cc3)c2=O)sc1C(=O)NCc1ncco1,6.669586226650809,1,0.0,2015,2015,2015,IC50,B,1
MBFRJCJPZMFFMU-UHFFFAOYSA-N,Cc1c(C(=O)N=C(N)N)ncn1Cc1ccc(Cl)cc1,6.66354026615147,1,0.0,2011,2011,2011,IC50,B,1
IJGWCBRJPINXQV-UHFFFAOYSA-N,Cn1cc(-c2ccc(N3CCC(N4CCc5cc(Cl)ccc54)CC3)nn2)cn1,6.661543506395395,1,0.0,2014,2014,2014,IC50,B,1
ATBDTEAYMAGOCW-UHFFFAOYSA-N,Cc1nc(N2CCN(Cc3ccccc3)C2=O)sc1C(=O)NCc1cccc(F)c1,6.6595558851598815,1,0.0,2014,2014,2014,IC50,B,1
LDXYQWNHOVBYJK-UHFFFAOYSA-N,O=C(Nc1ccc2ncn(Cc3ccc(F)c(Cl)c3)c(=O)c2c1)OCc1ccccc1,6.657577319177793,1,0.0,2009,2009,2009,IC50,B,1
NHKDTKMZQNVCSK-UHFFFAOYSA-N,NC1(c2ccccc2)CCN(c2ccc(-c3nc(CO)no3)nn2)CC1,6.657577319177793,1,0.0,2017,2017,2017,IC50,B,1
AFYBAPPGUZIPDM-UHFFFAOYSA-N,O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1cc(N2CCOCC2)on1,6.657577319177793,1,0.0,2021,2021,2021,IC50,B,1
MBZKEYVPSVQGTM-UHFFFAOYSA-N,Cc1nc(-n2cnn(Cc3ccc(C(F)(F)F)cc3)c2=O)sc1C(=O)NCc1ccccn1,6.6439741428068775,1,0.0,2015,2015,2015,IC50,B,1
DYEGEEMFKJLIAG-UHFFFAOYSA-N,COc1ccc(C(=O)Nc2ncc(Cc3ccc(C)c(F)c3)s2)cc1OCCO,6.640342644728942,2,0.6305179284792065,2009,2009,2009,IC50,B,1
