inchikey,SMILES,pAct,n_records,sd,year_min,year_max,year_median,types,assay_types,n_documents
RTJYNDZSOVYLSA-UHFFFAOYSA-N,COc1ccc(S(=O)(=O)Oc2ccccc2)cc1-c1ccc(CN2CCCCCC2c2ccccc2)[nH]1,6.0,1,0.0,1997,1997,1997,Ki,B,1
IQVKKBCPICOQPV-UHFFFAOYSA-N,COc1cc2ccccc2cc1COCC1CCN(Cc2ccccc2)CC1,6.0,1,0.0,1996,1996,1996,Ki,B,1
HBQUUZVSFQDTPW-UHFFFAOYSA-N,COc1ccc(S(=O)(=O)N2CCCc3ccccc32)cc1-c1ccc(CN2CCCCCC2c2ccccc2)[nH]1,6.0,1,0.0,1997,1997,1997,Ki,B,1
BLTZCNFSGZPIFQ-NRFANRHFSA-N,O=C(N[C@H]1CCN(Cc2ccccc2)C1)c1ccc(-c2ccsc2)cc1,6.0,1,0.0,2004,2004,2004,Ki,B,1
JGHHCQJAWMYFGE-UHFFFAOYSA-N,COc1ccc(Oc2cccc(CN3CCC(c4cccc(NC(=O)C(C)C)c4)CC3)c2)cc1,6.0,1,0.0,2007,2007,2007,Ki,B,1
OPNMLXKOFJADTH-UHFFFAOYSA-N,O=C(CCCCCN1CCN(c2ccccc2)CC1)NC1CCCc2ccccc21,6.0,1,0.0,2007,2007,2007,Ki,B,1
PYDCBKVOIWIWLP-UHFFFAOYSA-N,Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccncc4)n2C)CC3)no1,6.0,1,0.0,2007,2007,2007,Ki,F,1
FEQJNVMOFHFOGP-UHFFFAOYSA-N,Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc(C#N)cc4)n2C)CC3)no1,6.0,1,0.0,2007,2007,2007,Ki,F,1
RFIKMECJVGIKGU-UHFFFAOYSA-N,Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc(-c6cc(C)on6)cc5CC4)n3C)cccc2n1,6.0,1,0.0,2007,2007,2007,Ki,F,1
ANYPUOSSIOCSJC-UHFFFAOYSA-N,Cc1cnc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4cc5ccccc5[nH]4)n2C)CC3)o1,6.0,1,0.0,2007,2007,2007,Ki,F,1
PKGJBHXJYDGBET-UHFFFAOYSA-N,O=C(NCCCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1)c1cc2ccccc2s1,6.0,1,0.0,2007,2007,2007,Ki,B,1
ASRDPULQBHFPGU-WFIHMLKPSA-N,CC(=O)c1cccc(NC(=O)N[C@@H]2CCCC[C@H]2CN2CCC[C@@H](Cc3ccc(F)cc3)C2)c1,6.0,1,0.0,2007,2007,2007,IC50,B,1
VTSMNPQRBXHIOD-UHFFFAOYSA-N,Cc1ccc2c(-c3nnc(SCCCCN4CCc5cc6nc(C(F)(F)F)oc6c(Br)c5CC4)n3C)cccc2n1,6.0,1,0.0,2008,2008,2008,Ki,F,1
KOJCGDRJEPIJRS-UHFFFAOYSA-N,CCOc1ccccc1N1CCN(CCCC(=O)NCc2nc3ccc(F)cc3c(=O)n2-c2ccccc2)CC1,6.0,1,0.0,2008,2008,2008,IC50,B,1
HHTPKGOFGTYZBP-UHFFFAOYSA-N,O=C1N(CCN2Cc3ccccc3C2)CCN1c1ccc2occc2c1,6.0,1,0.0,2009,2009,2009,Ki,F,1
HGYQVRAMBVYKQO-UHFFFAOYSA-N,N#Cc1cc(N2CCN(CCN3CCC(C(F)(F)F)CC3)C2=O)ccc1F,6.0,1,0.0,2009,2009,2009,Ki,F,1
VLOIKNXQTLFVIH-OKDJAKQTSA-N,Cc1ccc(N2CCN(CCN(C)C[C@]34CC[C@H](CC3)C4(C)C)C2=O)cc1,6.0,2,0.0,2009,2009,2009,Ki,B;F,2
ZAGHVNSWDNQPSI-AZUAARDMSA-N,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3cccc(NS(C)(=O)=O)c3CC[C@@H]21,6.0,1,0.0,2010,2010,2010,Ki,B,1
AJNRYBGLAQDAEO-DYVFJYSZSA-N,O=S(=O)(Nc1ccc([C@]23CNC[C@H]2C3)cc1)c1ccc(OC(F)(F)F)cc1,6.0,1,0.0,2010,2010,2010,Ki,F,1
