inchikey,SMILES,pAct,n_records,sd,year_min,year_max,year_median,types,assay_types,n_documents
HUSFNZORCKCZQT-UHFFFAOYSA-N,COc1ccccc1CN(CC(Cc1c[nH]c2ccccc12)NC(=O)CSc1ccccn1)C(C)=O,7.966576244513051,1,0.0,2001,2001,2001,IC50,B,1
IZRHKURJIQCXMT-WMZOPIPTSA-N,Oc1ccc(OC(F)(F)F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,7.963770455913705,1,0.0,1998,1998,1998,IC50,F,1
JFBCXOANABQRMF-UHFFFAOYSA-N,CC1(Cc2c[nH]c3ccccc23)OC(=O)N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1=O,7.958607314841775,1,0.0,1995,1995,1995,IC50,B,1
NOGCECXKCJDXDN-ZWXJPIIXSA-N,Cc1cc(C)cc(C(=O)N2CCN(C(=O)CNC3CCN(C(=O)[C@H](N)Cc4ccccc4)CC3)[C@H](c3ccc(Cl)c(Cl)c3)C2)c1,7.958607314841775,1,0.0,2002,2002,2002,Ki,B,1
CELTZHHYEWEYBB-YTTGMZPUSA-N,CCCCCN(CCCCC)C(=O)N1CCN(C(=O)N(c2ccccc2)c2ccccc2)[C@H](C(=O)NCCN(CC)CC)C1,7.958607314841775,1,0.0,1993,1993,1993,IC50,B,1
NUQVMEYMKHQGHQ-UHFFFAOYSA-N,Cc1cc(C)cc(COCC(NC=O)C(c2ccccc2)c2ccccc2)c1,7.958607314841775,1,0.0,1994,1994,1994,IC50,B,1
USCFRWZCWBRYBB-UHFFFAOYSA-N,COc1ccccc1CN(CC(Cc1ccc2ccccc2c1)NC(=O)CN1CCN(c2ccccc2)CC1)C(C)=O,7.958607314841775,1,0.0,1996,1996,1996,IC50,B,1
SGGSCEPQSJZAAL-UHFFFAOYSA-N,COCc1nc2ccccc2c(-c2ccccc2)c1C(=O)N(C)Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,7.958607314841775,1,0.0,2004,2004,2004,IC50,B,1
KBVPOFHEUMGKGC-XZOQPEGZSA-N,CN(C)CCCOC(=O)N[C@H]1CCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@H](Cc2ccccc2)C1,7.958607314841775,1,0.0,1996,1996,1996,IC50,B,1
UWEJDSOFIHYIOE-MHZLTWQESA-N,CS(=O)(=O)N1CC2(CCN(C(=O)[C@H](COCc3cccc(Cl)c3)NCc3ccc(Cl)c(Cl)c3)CC2)c2ccccc21,7.958607314841775,1,0.0,1998,1998,1998,IC50,B,1
CIXKPLGEAAADPG-WUFINQPMSA-N,Cc1cc(C)cc(C(=O)N2CC[C@H](NCc3ccnc4ccccc34)C[C@H]2Cc2ccc(C(F)(F)F)cc2)c1,7.958607314841775,1,0.0,1996,1996,1996,IC50,B,1
NCFCVGUQIMTNNB-WGZBAJHCSA-N,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CN1CCCNC(=O)CCCC(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](Cc2ccccc2)C1=O)C(N)=O,7.958607314841775,1,0.0,1994,1994,1994,EC50,B,1
NMNAPOVNXDLYJZ-RTWAWAEBSA-N,CN(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(=O)[C@H]1CN(C(=O)OC(C)(C)C)C[C@@H]1c1ccccc1,7.958607314841775,1,0.0,2007,2007,2007,IC50,B,1
MPSBRZBCWQGWFI-UHFFFAOYSA-N,CN1CCC(COCc2cc(C(F)(F)F)cc(C3CC3)n2)(c2ccc(Cl)cc2)CC1,7.958607314841775,1,0.0,2013,2013,2013,IC50,B,1
YHYTXVOKAVQKLR-UHFFFAOYSA-N,FC(F)(F)c1cc(Cl)nc(COCC2(c3ccccc3)CCNCC2)c1,7.958607314841775,1,0.0,2013,2013,2013,IC50,B,1
BKZACLJXDQEZGG-JOCHJYFZSA-N,CCN1CCC[C@@](COCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2ccccc2)CC1,7.958607314841775,1,0.0,2013,2013,2013,IC50,B,1
OGWFIIQUFKCEMC-RTBURBONSA-N,N[C@@H]1CC[C@@](COCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2ccccc2)C1,7.958607314841775,1,0.0,2014,2014,2014,IC50,B,1
HXEVSMSRSONRKR-SFHVURJKSA-N,CC(=O)N[C@@H](Cc1csc2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,7.958392068922001,2,0.1958939551585369,1994,1998,1996,IC50,B,2
JBANDCXQHHODFB-LFHWKTFOSA-N,CC(C)c1noc(C2=CC(=O)N3C[C@H](O[C@H](C)c4cc(C(F)(F)F)cc(C(F)(F)F)c4)[C@@H](c4ccc(F)cc4)C3C2)n1,7.9561092910952285,2,1.1503804081209863,2010,2010,2010,IC50,B,1
