inchikey,year,standard_type,pAct
FNIPHGHBWQSBBH-UHFFFAOYSA-N,2015,IC50,7.886057
FNRATZPGWXUVAU-UHFFFAOYSA-N,2014,IC50,5.000739
FOCNQDSZOCWDPV-UHFFFAOYSA-N,2010,IC50,5.185553
FPOAPVSGDGLPOJ-UHFFFAOYSA-N,2007,IC50,5.200659
FPQQMWRUQKWZCF-UHFFFAOYSA-N,2009,IC50,8.065502
FPQQMWRUQKWZCF-UHFFFAOYSA-N,2009,IC50,8.065502
FQIFULLUVUVEGR-UHFFFAOYSA-N,2010,IC50,7.698970
FQXAGAGVHFSQNC-UHFFFAOYSA-N,2018,IC50,5.443697
FTECHNJBVQKRNG-UHFFFAOYSA-N,2009,IC50,8.481486
FTECHNJBVQKRNG-UHFFFAOYSA-N,2009,IC50,7.481486
FTGUCSKPHPVCMJ-UHFFFAOYSA-N,2020,IC50,6.920819
FTKQRUKADZDJIM-UHFFFAOYSA-N,2020,IC50,5.585027
FTKQRUKADZDJIM-UHFFFAOYSA-N,2020,IC50,4.508638
FTWMLRVXSUEQRW-UHFFFAOYSA-N,2021,IC50,4.594142
FUIDQGZBUBUWMJ-UHFFFAOYSA-N,2021,IC50,5.206210
FVCCCLJIEZKIRH-INIZCTEOSA-N,2021,IC50,4.434743
FWGJWARIAZXNSS-UHFFFAOYSA-N,2015,IC50,7.677781
FYZPOAFODMHPSO-UHFFFAOYSA-N,2015,IC50,7.167491
FYZZFGYHRGTQFW-UHFFFAOYSA-N,2014,IC50,7.259637
FZWTUTSNVNMLPN-UHFFFAOYSA-N,2014,IC50,7.468521
GBPADPRXTZXBBD-UHFFFAOYSA-N,2018,IC50,8.200659
GEQZFSCFWGCHOX-UHFFFAOYSA-N,2009,IC50,4.886057
GETHIQUDYMXOSR-UHFFFAOYSA-N,2018,IC50,8.050610
GFXZMOOBBBEVIL-UHFFFAOYSA-N,2011,IC50,5.082810
GGSJJARIPTYWGC-UHFFFAOYSA-N,2015,IC50,8.221849
GKHYXEGARSHUEV-UHFFFAOYSA-N,2021,IC50,6.327902
GKRDSGDSMIVUKZ-UHFFFAOYSA-N,2013,IC50,5.231362
GKXXTSAQLLFRMV-UHFFFAOYSA-N,2015,IC50,7.000000
GMSIJCYNWRTVKP-UHFFFAOYSA-N,2007,IC50,7.004365
GNHDSIPBZINXQG-UHFFFAOYSA-N,2009,IC50,5.665144
GNPRRBLFZQIRCI-UHFFFAOYSA-N,2010,IC50,7.657577
GNPRRBLFZQIRCI-UHFFFAOYSA-N,2010,IC50,7.221849
GODHGFJPVLWMCD-UHFFFAOYSA-N,2014,IC50,7.387216
GOKOILBJPWVKQU-UHFFFAOYSA-N,2020,IC50,6.853872
GOKOILBJPWVKQU-UHFFFAOYSA-N,2020,IC50,4.657577
GOWJXFXDCTYGBW-UHFFFAOYSA-N,2009,IC50,6.038579
GPIUKGPEECRBNX-UHFFFAOYSA-N,2014,IC50,7.638272
GPIUKGPEECRBNX-UHFFFAOYSA-N,2015,IC50,7.958607
GQRXCEDYPSPQRL-UHFFFAOYSA-N,2021,IC50,7.958607
GQVLIBJWHNDFPR-UHFFFAOYSA-N,2018,IC50,7.508638
GSPSPIYEHKAXTG-UHFFFAOYSA-N,2014,IC50,7.301030
GTAOGLKFEWOPTJ-UHFFFAOYSA-N,2010,IC50,8.000000
GTAOGLKFEWOPTJ-UHFFFAOYSA-N,2010,IC50,6.987163
GTCBBBBOAIYQKN-UHFFFAOYSA-N,2018,IC50,8.259637
GTXTVLCIXHWSIV-UHFFFAOYSA-N,2010,IC50,8.221849
GTXTVLCIXHWSIV-UHFFFAOYSA-N,2010,IC50,7.958607
GVCWPHPGQSAJDN-UHFFFAOYSA-N,2015,IC50,7.283997
GYHHTVXLJHSGFJ-UHFFFAOYSA-N,2007,IC50,6.958607
HAGVWKAVARLRET-IBGZPJMESA-N,2021,IC50,4.507938
HANVIVWUPUOVJA-UHFFFAOYSA-N,2021,IC50,6.468521
HBMLQKCIZBUCIU-UHFFFAOYSA-N,2015,IC50,6.168770
HCRJDLMZNQTQKC-UHFFFAOYSA-N,2017,IC50,8.022276
HDBOHAFZZFIARA-UHFFFAOYSA-N,2009,IC50,6.053548
HDMMPHYKRJFCHA-UHFFFAOYSA-N,2009,IC50,5.397940
HEVPXHKRZONDAX-UHFFFAOYSA-N,2015,IC50,7.698970
HEZALYJTWXTLDU-QWRGUYRKSA-N,2012,IC50,5.039054
HFQAKFBCTZKMKE-UHFFFAOYSA-N,2011,IC50,7.795880
HFTPWWWEDCJNRU-UHFFFAOYSA-N,2009,IC50,6.102373
HFVOEUOCDIYZFY-UHFFFAOYSA-N,2014,IC50,7.920819
HGUILYYDVRAKMY-UHFFFAOYSA-N,2021,IC50,7.180456
HGWXLMRDZPZHIF-UHFFFAOYSA-N,2014,IC50,6.917215
HHNRSGMHLOUJIQ-UHFFFAOYSA-N,2015,IC50,6.259637
HISJLSXOXJASNK-UHFFFAOYSA-N,2009,IC50,8.508638
HKYOVUOYHSMXQS-UHFFFAOYSA-N,2014,IC50,8.096910
HKYOVUOYHSMXQS-UHFFFAOYSA-N,2015,IC50,8.154902
HLLQDKNSAVHCAE-UHFFFAOYSA-N,2014,IC50,6.627088
HLMDZKBPECJZAW-UHFFFAOYSA-N,2007,IC50,6.259637
HLOGNBULKQGFPD-UHFFFAOYSA-N,2015,IC50,6.259637
HLTZCMCWHWUHJJ-UHFFFAOYSA-N,2013,IC50,5.630784
HNEOHYVDWRBYCX-UHFFFAOYSA-N,2009,IC50,7.036212
HOLNDMDFKLWNIW-UHFFFAOYSA-N,2010,IC50,8.397940
HOLNDMDFKLWNIW-UHFFFAOYSA-N,2010,IC50,8.045757
HOQQCLUGZIOACX-UHFFFAOYSA-N,2010,IC50,8.221849
HOQQCLUGZIOACX-UHFFFAOYSA-N,2010,IC50,8.154902
HQNCOEJAAYGEKK-UHFFFAOYSA-N,2009,IC50,7.494850
HQZYPXRPDCWUAU-UHFFFAOYSA-N,2011,IC50,4.973099
