inchikey,year,standard_type,pAct
AJZCTVAJRNIZDW-UHFFFAOYSA-N,2020,IC50,6.330776
AJZLEDKSUTZOOU-UHFFFAOYSA-N,2014,EC50,7.649946
AJZLEDKSUTZOOU-UHFFFAOYSA-N,2014,EC50,7.657577
AKAZDIQCZSDVHY-YLJYHZDGSA-N,2021,Ki,6.095284
AKCNULBSNJJBDL-UHFFFAOYSA-N,2023,Ki,5.801343
AKCNULBSNJJBDL-UHFFFAOYSA-N,2023,IC50,6.202040
AKCNULBSNJJBDL-UHFFFAOYSA-N,2023,IC50,5.191789
AKOUANOAMJNPBZ-GJIFKWMDSA-N,2014,Ki,7.171276
AKQWVRLMOLBNQU-UHFFFAOYSA-N,2021,IC50,8.659953
AKQWVRLMOLBNQU-UHFFFAOYSA-N,2021,EC50,5.500000
AKRZFAUTJFZOAO-UHFFFAOYSA-N,2016,Ki,6.493495
AKTHZRZKYPJJRC-UHFFFAOYSA-N,2008,Ki,7.585027
AKTQSTPCOLTVQO-UHFFFAOYSA-N,1997,Ki,6.552842
AKTVMLWMKKIHMI-UHFFFAOYSA-N,2020,Ki,6.419988
AKUFOSYLIYVIGY-UHFFFAOYSA-N,2017,Ki,5.209856
AKUFOSYLIYVIGY-UHFFFAOYSA-N,2019,Ki,5.209856
AKXOIHNFHOEPHN-CQSZACIVSA-N,2024,IC50,5.943095
AKXOIHNFHOEPHN-UHFFFAOYSA-N,2023,IC50,5.943095
AKXPLUFJRRUGNE-UHFFFAOYSA-N,2021,Ki,5.960189
AKXPLUFJRRUGNE-UHFFFAOYSA-N,2021,Ki,5.959999
AKYWUMKVNYAANP-UHFFFAOYSA-N,2010,Ki,8.721246
ALDCLQHVTZPMQV-SFHVURJKSA-N,2014,Ki,7.465593
ALJFHHUCGXIRIJ-UHFFFAOYSA-N,2010,Ki,8.698970
ALJNGMYHXPZTTG-WGSAOQKQSA-N,2013,Ki,5.835350
ALJVVUIFWXGXTR-UHFFFAOYSA-N,1997,Ki,6.438899
ALKXNIXXISSQFE-UHFFFAOYSA-N,2019,Ki,7.570248
ALLUIYWATYVDFM-MXVIHJGJSA-N,2014,Ki,7.024247
ALLYNSCMTRSFNH-UHFFFAOYSA-N,2008,Ki,5.346787
ALLYNSCMTRSFNH-UHFFFAOYSA-N,2008,Ki,5.327902
ALMBNZHSWURVRM-UHFFFAOYSA-N,2012,Ki,6.497573
ALMQVQFFGPSBDJ-KJDSRRNHSA-N,2023,Ki,5.744727
ALORGORVZSRMKI-AZGAKELHSA-N,2010,Ki,6.233587
ALPMTMYCYHOFLH-TZIWHRDSSA-N,2021,Ki,6.137869
ALPOWWDAVMFBEC-UHFFFAOYSA-N,2019,Ki,7.070019
ALTKABGEMCJWJH-UHFFFAOYSA-N,2016,Ki,5.610000
ALXBTSBMBMBYHQ-UHFFFAOYSA-N,2019,Ki,7.202732
ALZFDRFMVFNHJV-UHFFFAOYSA-N,2006,Ki,6.628932
AMADNKXMEDYTCS-UHFFFAOYSA-N,2010,Ki,7.400008
AMAZFBCTWBJQKF-UHFFFAOYSA-N,2015,Ki,9.522879
AMAZFBCTWBJQKF-UHFFFAOYSA-N,2015,EC50,8.823909
AMBHQWIFPINWOO-SKPFHBQLSA-N,2021,Ki,7.003051
AMCGNHPMLVBAQK-UHFFFAOYSA-N,2019,IC50,8.224026
AMCLEKXUPLBXGM-YEMPIKNUSA-N,2014,Ki,7.276873
AMDRAFDQLSKJMW-UHFFFAOYSA-N,2010,Ki,8.795880
AMFHRDQSGJPBOQ-UHFFFAOYSA-N,2012,Ki,7.119186
AMFZVTYRKIIUHJ-OWWJJEGGSA-N,2023,Ki,6.096910
AMIGTUQPTNLQHG-UHFFFAOYSA-N,2016,Ki,5.800001
AMIGTUQPTNLQHG-UHFFFAOYSA-N,2019,Ki,5.770062
AMIGTUQPTNLQHG-UHFFFAOYSA-N,2020,Ki,5.770062
AMIUKHHHHJYBCP-UHFFFAOYSA-N,2012,Ki,6.320572
AMJCGARHMZJBKQ-UHFFFAOYSA-N,2011,Ki,7.958607
AMJCGARHMZJBKQ-UHFFFAOYSA-N,2011,Ki,8.161151
AMKQYZPSQCPQGB-UHFFFAOYSA-N,2012,Ki,7.420216
AMKQYZPSQCPQGB-UHFFFAOYSA-N,2012,Ki,7.795880
AMUCTWAVRKDCJA-UHFFFAOYSA-N,2022,Ki,6.958607
AMUFJSCMOPQLMQ-UHFFFAOYSA-N,2005,Ki,7.823909
ANCFDBAFLRCWEK-UHFFFAOYSA-N,2011,Ki,9.000000
ANCQWHLMXBDLTA-UHFFFAOYSA-N,2017,EC50,7.832683
ANDAVALYLUYQOC-UHFFFAOYSA-N,2016,Ki,6.785156
ANGUXJDGJCHGOG-UHFFFAOYSA-N,2010,Ki,6.299998
ANNKWISOEPVJLP-JKIUYZKVSA-N,2019,EC50,7.148742
ANNKWISOEPVJLP-JKIUYZKVSA-N,2019,EC50,6.737549
ANNKWISOEPVJLP-JKIUYZKVSA-N,2019,EC50,7.150028
ANNKWISOEPVJLP-JKIUYZKVSA-N,2019,EC50,6.740000
ANNLFDUPFAFPFH-UHFFFAOYSA-N,2023,Ki,5.829738
ANOJEAQPXSEPBD-UHFFFAOYSA-N,2022,Ki,6.259637
ANOQJCMMWZANCH-UHFFFAOYSA-N,2014,Ki,8.026872
ANOQJCMMWZANCH-UHFFFAOYSA-N,2014,Ki,8.000000
ANPBPMHGXDWYNM-AZUAARDMSA-N,2019,Ki,5.789949
ANPBPMHGXDWYNM-AZUAARDMSA-N,2020,Ki,5.789949
ANQRPBNHSKJQGO-KRWDZBQOSA-N,2017,Ki,7.744727
ANTKBACNWQHQJE-UHFFFAOYSA-N,2010,Ki,7.113509
ANTOILZBKKIMIM-UHFFFAOYSA-N,2016,Ki,5.500000
ANYPUOSSIOCSJC-UHFFFAOYSA-N,2007,Ki,6.000000
AODRELZHCYHJFT-UHFFFAOYSA-N,2021,Ki,7.420216
AODRELZHCYHJFT-UHFFFAOYSA-N,2021,Ki,7.419988
AODRELZHCYHJFT-UHFFFAOYSA-N,2021,EC50,8.167491
AODRELZHCYHJFT-UHFFFAOYSA-N,2021,EC50,8.169989
AODRELZHCYHJFT-UHFFFAOYSA-N,2021,EC50,7.958607
AODRELZHCYHJFT-UHFFFAOYSA-N,2021,EC50,7.969805
AODRELZHCYHJFT-XLIONFOSSA-N,2021,Ki,7.939302
AODRELZHCYHJFT-XLIONFOSSA-N,2021,Ki,7.940058
AODRELZHCYHJFT-XLIONFOSSA-N,2021,EC50,8.050610
AODRELZHCYHJFT-XLIONFOSSA-N,2021,EC50,8.049976
AODRELZHCYHJFT-XLIONFOSSA-N,2021,EC50,8.602060
AODRELZHCYHJFT-XLIONFOSSA-N,2021,EC50,8.599980
AODRELZHCYHJFT-XLIONFOSSA-N,2021,EC50,8.190440
AODRELZHCYHJFT-XLIONFOSSA-N,2021,EC50,8.189969
AOESATFDEMWHLJ-HZCBDIJESA-N,2007,Ki,7.207608
AOESATFDEMWHLJ-SZPZYZBQSA-N,2007,Ki,7.091515
AOEZTGSRIVCHEA-UHFFFAOYSA-N,2020,EC50,5.283997
AOEZTGSRIVCHEA-UHFFFAOYSA-N,2023,EC50,5.283997
