inchikey,year,standard_type,pAct
BCBZQRGPPQVWGF-KRWDZBQOSA-N,1994,IC50,5.602060
BCBZQRGPPQVWGF-QGZVFWFLSA-N,1994,IC50,7.259637
BCBZQRGPPQVWGF-QGZVFWFLSA-N,1995,IC50,7.259637
BCZOCLLNEUBFJV-CMXZEOLJSA-N,2001,Ki,7.886057
BDFUSNFQDJPSLX-UHFFFAOYSA-N,1995,IC50,8.602060
BDUFSRWYMLBPMN-UHFFFAOYSA-N,2001,IC50,9.455932
BECWCZRLWGOCHQ-UHFFFAOYSA-N,2000,IC50,8.698970
BEMWOCKAHZVMIH-YCTXJJCUSA-N,2002,Ki,8.958607
BENBCXADYMWEMA-WUFINQPMSA-N,1996,IC50,6.958607
BEPSRRZBDUBAKD-IRXDYDNUSA-N,1994,IC50,8.154902
BEQWHMKGQHGLOD-VOBQZIQPSA-N,1998,IC50,9.568636
BETCCFITWJNKCT-UHFFFAOYSA-N,2002,IC50,9.481486
BEXOTYMLUDAROH-HMCKCBAOSA-N,1993,IC50,6.251812
BEZICALLUMKYOA-UHFFFAOYSA-N,2013,IC50,7.537602
BFTNGPWIAXYGDV-BJKOFHAPSA-N,1996,IC50,5.982967
BFUFVSBGSHVEOT-URLMMPGGSA-N,1996,IC50,7.677781
BGDPOOZYXVGESF-UHFFFAOYSA-N,2002,Kd,8.299989
BGGTUZUVWQJOOJ-CKWXOEDFSA-N,2007,Ki,9.000000
BGGTUZUVWQJOOJ-CKWXOEDFSA-N,2007,IC50,8.470057
BGHSMICSHLUMLM-AFLPVOFRSA-N,2006,IC50,9.602060
BGJIDILIDBTJSM-UHFFFAOYSA-N,2000,IC50,6.070581
BGMAFASBOCNMKL-JWHWKPFMSA-N,2000,Ki,7.214670
BGXQNEJEOAGRKU-FPOVZHCZSA-N,1998,IC50,9.251812
BHCJHYIMNHXLOM-HUHHHVMHSA-N,2003,Ki,7.739929
BHCJHYIMNHXLOM-JZJAWGSMSA-N,2003,Ki,9.079981
BHCJHYIMNHXLOM-UDNXBLAOSA-N,2003,Ki,8.059982
BHCJHYIMNHXLOM-WVDRJWPYSA-N,2003,Ki,8.379968
BHCJHYIMNHXLOM-WVDRJWPYSA-N,2001,IC50,8.318759
BHHPPHSTDDDXDM-UHFFFAOYSA-N,2000,IC50,8.537602
BHOBTAHATOPTPK-QDAZHVTCSA-N,2006,Ki,9.301030
